#CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited
15592531,"Bartlett",822,"Male",50,7,2,1,10063,0
15643966,"Goforth",616,"Male",45,3,2,0,64327,0
15737452,"Romeo",653,"Male",58,1,1,1,5098,1
15661507,"Muldrow",587,"Male",45,6,1,0,158685,0
15725737,"Mosman",669,"Male",46,3,2,0,8488,0
15794171,"Lombardo",475,"Female",45,0,1,1,27823,1
15738148,"Clarke",465,"Female",51,8,1,0,181298,1
15687946,"Osborne",556,"Female",61,2,1,1,94154,0
15755196,"Lavine",834,"Female",49,2,1,0,194366,1
15684171,"Bianchi",660,"Female",61,5,1,1,158338,0
15630053,"Tsao",656,"Male",45,5,1,1,87108,0
15623944,"T'ien",511,"Female",66,4,1,1,1643,1
15804771,"Velazquez",614,"Male",51,4,1,1,46775,0
15751208,"Pirozzi",684,"Male",56,8,1,1,99398,0
15703793,"Konovalova",738,"Male",58,2,4,1,28374,1
15614049,"Hu",664,"Male",55,8,2,1,139162,0
15738751,"Beit",493,"Female",46,4,2,1,1908,0
15805254,"Ndukaku",652,"Female",75,10,2,1,114676,0
15622897,"Sharpe",646,"Female",46,4,3,1,93251,1
15731511,"Ritchie",808,"Male",45,7,2,1,147132,0
15804919,"Dunbabin",670,"Female",65,1,1,1,177656,1
15613854,"Mauldon",622,"Female",46,4,2,1,30985,1
15760085,"Calabresi",684,"Female",48,10,1,1,198129,0
15671137,"MacDonald",549,"Female",52,1,1,0,8636,1
15782688,"Piccio",625,"Male",56,0,1,1,46824,1
15584518,"Arthur",589,"Female",50,5,2,1,34941,0
15594408,"Chia",584,"Female",48,2,1,1,75161,1
15713483,"Greeves",793,"Male",52,2,1,1,159124,1
15759618,"Alexeeva",535,"Female",48,9,1,1,149893,1
15679145,"Chou",706,"Male",57,7,1,1,17941,1
15589975,"Maclean",646,"Female",73,6,1,0,104720,0
15630910,"Treacy",800,"Female",49,7,1,0,47125,0
15625426,"Ashbolt",754,"Female",55,3,1,1,8081,1
15716334,"Rozier",850,"Female",45,2,1,1,19483,0
15789669,"Hsia",510,"Male",65,2,2,1,48072,0
15621075,"Ogbonnaya",778,"Female",45,1,2,1,174531,0
15719377,"Cocci",804,"Female",50,4,1,1,8547,1
15656176,"Jenkins",501,"Male",57,10,2,1,47847,0
15600974,"He",516,"Male",50,5,1,0,146146,1
15684181,"Hackett",643,"Male",45,5,1,1,142514,1
15612087,"Dike",671,"Male",45,2,1,0,158265,0
15723488,"Watson",668,"Male",47,7,1,0,157959,1
15680920,"Marchesi",695,"Male",46,7,1,1,133007,0
15774854,"Fuller",592,"Male",54,8,1,1,28738,1
15568748,"Poole",671,"Male",45,6,1,1,108872,1
15637753,"O'Sullivan",751,"Male",50,2,1,1,77206,1
15808473,"Ringrose",673,"Male",72,1,2,0,111981,0
15704769,"Smith",585,"Female",67,5,2,0,93146,0
15794056,"Johnston",668,"Female",46,2,3,1,89048,1
15596175,"McIntosh",659,"Male",67,6,1,1,45071,1
15772423,"Liao",739,"Male",54,8,1,1,134421,1
15793726,"Matveyeva",681,"Female",79,0,2,0,170969,0
15673481,"Morton",726,"Female",48,6,1,1,64323,0
15694456,"Toscani",756,"Male",62,3,1,1,11199,1
15767339,"Chiazagomekpere",777,"Female",53,10,2,1,189993,0
15782210,"K'ung",714,"Male",46,1,1,1,152168,1
15650068,"Johnson",511,"Male",58,0,1,1,162600,0
15773972,"Balashov",614,"Male",50,4,1,1,127166,1
15712287,"Pokrovskii",652,"Female",80,4,2,1,188603,0
15797960,"Skinner",806,"Female",59,0,1,1,182823,0
15662736,"Doyle",559,"Male",49,2,1,1,120541,1
15810834,"Gordon",525,"Female",57,2,1,1,64448,0
15736008,"Hunter",644,"Female",46,9,1,1,108761,1
15598493,"Beach",656,"Male",50,7,2,0,72143,0
15681081,"Marrero",545,"Female",47,5,2,1,38970,0
15747358,"Russell",643,"Male",59,3,1,1,32172,0
