#RANKINDEX  CustomerIdSurname          CrediGenderAge TenuNumHasEstimatedSaCustomerIdBalance    IsA
           1  15757408Lo                 655Male    38   3  3  0      81054  15757408     250898  1
           2  15715622To Rot             583Female  57   3  1  0     147965  15715622     238388  1
           3  15714241Haddon             749Male    42   9  1  0     101109  15714241     222268  0
           4  15571958McIntosh           489Male    40   3  1  1     171867  15571958     221533  0
           5  15586674Shaw               663Female  58   5  1  0      74177  15586674     216110  1
           6  15599131Dilke              650Male    26   4  2  1     128815  15599131     214347  0
           7  15594408Chia               584Female  48   2  1  1      75161  15594408     213146  0
           8  15769818Moore              850Female  37   3  1  0      69373  15769818     212778  1
           9  15620268Thomson            634Male    43   3  1  1     115269  15620268     212696  0
          10  15780212Mao                592Male    37   4  1  0     176395  15780212     212693  0
